tag,filename,full,chunk,full_length,chunk_length,chunk_count,file_type,sha256
"20190416","./radeon/hawaii_ce.bin","None","TMS320C6x","8832","768","3","data","431b47d83a97c69a6216b374cd74897fc336da56a1fcc9cda2f8cf90efa36a31"
"20190416","./radeon/pitcairn_k_smc.bin","Mico32","Mico32","61712","51200","80","data","7a5a05c16936d9918759a51ec2caed0db65de64e5957efb6dcb32a2bbefaeebe"
"20190416","./radeon/OLAND_rlc.bin","None","i860","8192","128","2","data","c77602786edf59cd4e5b20e676d440743d7059f458876c0beba4e75d16d3eebc"
"20190416","./radeon/tahiti_pfp.bin","None","IA-64","8832","256","2","data","247f2a4547c0151b1a969fa53d35584a01300f481106b9a19afe9fc44b61d07c"
"20190416","./radeon/TAHITI_pfp.bin","None","i860","8576","256","2","data","5aff5ef8efda66332358ddb45c6b3b0d87fe9f06afc48f0ecbc24d00363b4ff5"
"20190416","./radeon/HAINAN_mc.bin","Cray","Cray","31452","6656","19","data","b0f24c2cb3f3c0456cf731428e83c206aa865b9f300dc43d5d8d8a0642e1bec2"
"20190416","./radeon/KABINI_rlc.bin","None","i860","10240","512","2","data","64de347a91da4a1cd8f035ea6bd27c4a445a65d1c823109bc9f5781d793506c6"
"20190416","./radeon/hawaii_sdma.bin","None","Epiphany","4456","128","2","data","638602157d38a25e584e81710c9c3a36731c52599d92e010b77dd53890dc662a"
"20190416","./radeon/KAVERI_rlc.bin","None","i860","10240","512","2","data","c2f39dc488ce7efe932c4cfe96f313723b1068ead67a379589151a553939d83e"
"20190416","./radeon/OLAND_ce.bin","None","IA-64","8576","256","2","data","ff33893f2264ba1bfc070695f9460a533a76f05c34384010718d83f6f564b1d6"
"20190416","./radeon/hawaii_vce.bin","Xtensa","Xtensa","101072","65536","100","data","fb768657d70c8674c1c48a284e5299ab2877ac2420957ea4b36c75f7f5997869"
"20190416","./radeon/MULLINS_ce.bin","None","i860","8576","512","2","data","30837ab24b31aaafe89d1e1df89932ec4e2d5a662648d0223683f7ffbecee858"
"20190416","./radeon/hawaii_k_smc.bin","Mico32","Mico32","130796","55296","84","data","13e0ca77d40f44e1c8940e8337ad9a71dd93342ecf7a122073c21dd6d3afb7fc"
"20190416","./radeon/CAYMAN_pfp.bin","None","i860","8704","256","2","data","8fbe3f47f1499f6dd683245bccee38560d5d476aac488344d13aba45832ac4d9"
"20190416","./radeon/VERDE_pfp.bin","None","i860","8576","1024","2","data","6f16d95f7209b5d94f98420cf6291f834804ae774b49c9d3a5cd1a6988af962b"
"20190416","./radeon/bonaire_vce.bin","Xtensa","Xtensa","101072","65536","100","data","fb768657d70c8674c1c48a284e5299ab2877ac2420957ea4b36c75f7f5997869"
"20190416","./radeon/RV740_smc.bin","68HC11","68HC11","16840","15872","49","Adobe Photoshop Color swatch, version 0, 66 colors; 1st CMYK space (2), w 0x625a, x 0, y 0x100, z 0; 2nd CMYK space (2), w 0, x 0x64, y 0, z 0xc8","ff29926c41cccc41983f0d030b38918f1d3212be36192ef0e5db691088cd471e"
"20190416","./radeon/RV710_uvd.bin","Xtensa","Xtensa","116120","34816","52","data","d2d712f9c94a71a9172e9dc5394abd70aeabd57127caf4f1104cdd1c206dbfaf"
"20190416","./radeon/PITCAIRN_pfp.bin","None","i860","8576","256","2","data","5aff5ef8efda66332358ddb45c6b3b0d87fe9f06afc48f0ecbc24d00363b4ff5"
"20190416","./radeon/BONAIRE_me.bin","None","Cray","8576","128","2","data","7cb1f5f76f14924c75b894f8ccbdda0a74d96952354792845ecba0a3878cb94d"
"20190416","./radeon/kabini_me.bin","None","NIOS-II","8832","1536","3","data","a06f83d5a04a8ebebd98178770d64dee8e6e5ca6e7e4459fd087f0eb0459777b"
"20190416","./radeon/bonaire_sdma1.bin","None","Epiphany","4456","128","2","data","8bb8fc3280153dbc9dc545d3ec046fa38361be5acf7e6f956aa0fd57196c84b8"
"20190416","./radeon/KAVERI_me.bin","None","i860","8576","192","3","data","a7da47a395b89f482a5e6fe9f8b64a574a920aef438514f30bec1a43dfa287cc"
"20190416","./radeon/bonaire_mc.bin","None","MIPSeb","32336","1024","2","data","a2d2dfe6e7cea4be2186c5a0ba84392fe3df7709b3058da8d8ca41ca49b0814a"
"20190416","./radeon/RV710_pfp.bin","None","i860","3392","256","2","data","7fd6822683b36a31173b42faa12a1cf2ab99b90db6bbca5fa8ca72ecedc833d5"
"20190416","./radeon/oland_pfp.bin","None","IA-64","8832","256","2","data","3fbc49f5b0f9ce33370558302ac77faac7483ad21054a2b4cd4434461785ff38"
"20190416","./radeon/oland_smc.bin","Mico32","Mico32","62260","51200","80","data","e235555bbb2440a55fd321c7d3400971561b82cf4ba831da7c30225a31c02eed"
"20190416","./radeon/bonaire_me.bin","None","NIOS-II","8832","1024","2","data","e03d9f712150ff21e32bb02e41e8358497966d2dc164d015a550493a776e285c"
"20190416","./radeon/oland_mc.bin","None","MIPSeb","31996","1024","2","data","c7ea90b96507193d7cdfcda50145ea69f67bb38804664bfd4490e790f483002a"
"20190416","./radeon/kaveri_sdma.bin","None","Epiphany","4456","128","2","data","638602157d38a25e584e81710c9c3a36731c52599d92e010b77dd53890dc662a"
"20190416","./radeon/R600_uvd.bin","Xtensa","Xtensa","74188","25600","37","data","87fd0770c8a19fc52d10e3544800734f5306e80224c53d69d3cb5eec1e1f797f"
"20190416","./radeon/BONAIRE_rlc.bin","None","i860","8192","256","2","data","c29dd60b0af04bfeb0480279113d30ff951881bfeab568e455842cf80e3747fa"
"20190416","./radeon/CAYMAN_smc.bin","68HC11","68HC11","31212","23552","70","Adobe Photoshop Color swatch, version 0, 804 colors; 1st RGB space (0), w 0, x 0, y 0x138, z 0; 2nd space (45700), w 0, x 0x1f4, y 0, z 0x218","6da39205d5121088d3b0bdea9c8b09adfde3f66eff6c1fe3e377fee174f70fed"
"20190416","./radeon/OLAND_pfp.bin","None","i860","8576","256","2","data","cf76e83ff40f2971e0cb06d14ab54f34f0598d65f9c42b8a9659bd7a9f150f07"
"20190416","./radeon/OLAND_me.bin","None","AxisCris","8576","256","2","data","8c44b593db351bb0cccb4b79ae4fac5f9a5a509321e5f356bcd4113e8c580ff2"
"20190416","./radeon/RV610_me.bin","None","IA-64","21504","2048","4","data","566508c94ab890868242298a338e9362e893115a349f8548d26b9280ef9f4b4f"
"20190416","./radeon/oland_k_smc.bin","Mico32","Mico32","62692","52224","81","data","4f2a8d297f5e2628af679f2d9fc967bfd0dbe7549dc8d865fce300de154adfb7"
"20190416","./radeon/OLAND_mc2.bin","Cray","Cray","31452","6656","19","data","b0f24c2cb3f3c0456cf731428e83c206aa865b9f300dc43d5d8d8a0642e1bec2"
"20190416","./radeon/R300_cp.bin","None","IA-64","2048","256","2","data","c3e2184fe221a1ee872075fef7e4a1e71860a7f87823801339d5be010d524fe5"
"20190416","./radeon/hawaii_smc.bin","Mico32","Mico32","130796","54272","83","data","a281f69e608fe0492458164380729655d86abd34280fe9d1cd35f07f7fb57236"
